PeLPA0,PeLPA20,PeLPA40
0.001526021,0.001101848,0.001461577
0.000793433,0.000735811,0.001010664
0.000532537,0.000515097,0.000802431
0.00042064,0.000477858,0.000714408
0.000308932,0.000441155,0.000593878
0.00029927,0.000308435,0.000495435
0.000178373,0.000529689,0.000262399
0.000210378,0.00032855,0.000384542
0.000170895,0.000257876,0.000262212
0.000168811,0.000356208,0.000219756
0.000162287,0.000348138,0.000322368
0.000160588,0.00037112,0.000405547
0.000189085,0.000352318,0.00032939
0.000215259,0.000397905,0.000310706
0.000211001,0.000307266,0.000306537
0.000125786,0.000464168,0.000266459
0.000243518,0.001008906,0.000185893
0.000460014,0.001003688,0.000293988
0.000356048,0.001165532,0.000254296
0.000374834,0.001036475,0.000259621
0.000314881,0.000933693,0.000276318
0.000336982,0.000803355,0.00022855
0.000353051,0.000794756,0.000260145
0.000233656,0.00088001,0.000150728
0.000361078,0.000777155,0.000237551
0.000297634,0.000902709,0.000211274
0.000231365,0.000858131,0.000193175
0.000231956,0.000750226,0.000246475
0.000270788,0.000878516,0.000192532
0.000329336,0.000852082,0.000212186
0.000304838,0.000733449,0.000231485
0.000271471,0.000736991,0.000121793
0.00033577,0.000700882,0.000161869
0.000360594,0.000799108,0.000260926
0.00043315,0.000738118,0.000189723
0.00041311,0.000746576,0.000182719
0.000415461,0.000773474,0.000231613
0.00041602,0.000835297,0.000177087
0.000266763,0.000652884,0.000140368
0.000571013,0.000768163,0.00022427
0.00035847,0.00094785,0.000212366
0.000334361,0.000835169,0.000190841
0.000430396,0.000698508,0.000338693
0.000344597,0.000852821,0.000177445
0.00032318,0.000742615,0.000150277
0.000372418,0.000654783,0.000167794
0.000438644,0.000573296,0.00027016
0.000386393,0.000570514,0.000185774
0.00041443,0.000595609,0.000146901
0.000400422,0.000624388,0.000183172
0.00027765,0.000666182,0.000135793
0.000334614,0.000727104,0.00010778
0.000365894,0.000664533,0.000177221
0.000319905,0.000621753,0.000221548
0.000262054,0.000570193,3.32121E-05
0.000306414,0.000567469,0.000200824
0.000377555,0.000574195,0.000204997
0.000254502,0.000523678,0.000164229
0.000336616,0.000593427,0.000194541
0.000400024,0.000567092,0.000196198
4.57E-04,5.80E-04,2.43E-04
0.000277352,0.000704556,0.000125631
0.000352319,0.000666386,0.000270047
0.000286048,0.00071628,0.000252973
1.77E-04,6.28E-04,1.51E-04
0.000284148,0.000847146,0.000219044
0.000128444,0.000770581,7.65719E-05
0.000143726,0.000568053,8.53002E-05
0.000199889,0.000770255,0.000129331
0.000166033,0.000687632,0.000108226
0.000202481,0.000812729,0.000138853
0.000235565,0.00089851,0.00016633
0.00023077,0.000788701,0.000257167
0.000155655,0.000649399,0.000279717
0.00018329,0.000738526,0.000205386
0.000187533,0.000946505,0.000246995
0.000172807,0.000915621,0.000250881
5.35E-05,5.47E-04,2.15E-04
8.28301E-05,0.000759647,0.000264086
0.000129172,0.000705491,0.000225797
0.000117068,0.000661863,0.000262255
0.000110722,0.000677366,0.000243011
0.000136292,0.000834103,0.000237142
0.000162143,0.000946527,0.000275601
6.56581E-05,0.000565492,0.000189585
1.67E-04,7.66E-04,2.86E-04
3.12241E-05,0.000456257,0.000221254
0.000149043,0.000799844,0.000233551
0.000127319,0.000597348,0.000182308
0.000187205,0.000836263,0.00025145
9.39129E-05,0.00058088,0.000158364
0.000134693,0.000808994,0.000176056
0.000162544,0.000864215,0.000270594
0.000147078,0.000599178,0.000300678
0.000133855,0.000591336,0.000211247
0.000133982,0.000702754,0.000265189
0.000180143,0.000837279,0.00026118
0.000133161,0.000392512,0.000232959
9.87477E-05,0.000392126,0.000189032
0.000124776,0.00036596,0.000132367
1.33E-04,4.20E-04,1.40E-04
0.000138074,0.000239734,0.000143847
0.000155364,0.000309588,0.000167866
0.000109279,0.000218703,0.000170278
0.00012976,0.000265702,0.000193283
0.000148005,0.000316308,0.000222289
7.01E-05,2.06E-04,2.48E-04
8.12818E-05,0.000203276,0.000375286
6.32E-05,2.38E-04,2.69E-04
6.77534E-05,0.00024102,0.0003387
7.18893E-05,0.000277201,0.000321257
3.31813E-05,0.000249383,0.000210143
3.17726E-05,0.000240586,0.000250996
3.27582E-05,0.000292489,0.000404124
1.50E-05,2.26E-04,2.24E-04
1.89095E-05,0.000188254,0.000267523
1.738E-05,0.00014847,0.000184948
8.88652E-06,0.00016011,0.000142397
3.7601E-06,0.000215589,0.000207076
2.2884E-05,0.000149857,0.000175868
7.13E-06,1.39E-04,2.57E-04
2.02362E-05,0.000242486,0.000356536
1.36E-06,7.48E-05,2.62E-04
3.10741E-06,0.000139395,0.000285811
1.39626E-05,8.82035E-05,0.000263507
1.18781E-05,8.24106E-05,0.000327959
6.53E-06,6.77E-05,2.99E-04
8.76456E-06,5.82075E-05,0.000239599
4.0362E-06,3.5122E-05,0.000362713
6.42E-06,2.74E-05,2.43E-04
3.76E-06,3.46E-05,3.50E-04
2.90878E-06,2.22454E-05,0.000248166
2.60574E-06,2.08196E-05,0.000338913
3.77503E-06,2.04671E-05,0.000300474
3.0774E-07,3.08126E-06,0.000222603
1.59E-06,1.38E-05,1.64E-04
1.41E-07,3.11E-06,1.06E-04
1.52237E-06,7.46795E-06,0.000354772
2.36E-06,1.29E-05,1.23E-04
1.95E-06,9.45E-06,3.91E-04
5.01E-08,2.45E-06,3.42E-04
1.79354E-07,2.44874E-06,0.000165668
2.18673E-06,1.25306E-05,0.000190502
7.58961E-07,4.62831E-06,9.66732E-05
1.08E-06,6.14E-06,1.47E-04
